id,length (px),length (um),chains,chain lengths (px),chain lengths (um)
0,55.112698372208186,9.369158723275392,1,[55.112698372208186],[9.36915872]
1,43.14213562373094,7.33416305603426,3,"[22.07106781186547, 14.656854249492376, 6.414213562373096]",[3.75208153 2.49166522 1.09041631]
2,2.4142135623730954,0.41041630560342623,1,[2.4142135623730954],[0.41041631]
3,32.09188309203676,5.4556201256462495,1,[32.09188309203676],[5.45562013]
4,24.31370849898475,4.133330444827408,1,[24.31370849898475],[4.13333044]
5,29.79898987322331,5.065828278447963,1,[29.79898987322331],[5.06582828]
6,88.11269837220821,14.979158723275397,2,"[73.45584412271583, 14.656854249492378]",[12.4874935   2.49166522]
7,25.142135623730933,4.274163056034259,1,[25.142135623730933],[4.27416306]
8,19.313708498984745,3.2833304448274068,1,[19.313708498984745],[3.28333044]
9,49.627416997969505,8.436660889654817,3,"[7.656854249492382, 19.071067811865465, 22.899494936611653]",[1.30166522 3.24208153 3.89291414]
10,16.14213562373094,2.7441630560342603,1,[16.14213562373094],[2.74416306]
11,22.142135623730933,3.764163056034259,1,[22.142135623730933],[3.76416306]
12,21.24264068711928,3.6112489168102777,2,"[19.828427124746185, 1.4142135623730951]",[3.37083261 0.24041631]
13,54.698484809834994,9.29874241767195,2,"[34.798989873223334, 19.899494936611656]",[5.91582828 3.38291414]
14,47.64823227814078,8.100199487283934,2,"[19.55634918610403, 28.091883092036756]",[3.32457936 4.77562013]
15,44.76955262170054,7.610823945689092,1,[44.76955262170054],[7.61082395]
16,50.94112549695426,8.659991334482225,3,"[18.899494936611656, 14.899494936611658, 17.14213562373094]",[3.21291414 2.53291414 2.91416306]
17,15.899494936611658,2.702914139223982,1,[15.899494936611658],[2.70291414]
18,44.69848480983502,7.5987424176719545,1,[44.69848480983502],[7.59874242]
