id,length (px),length (um),img
0,16.07106781186547,2.73208152801713,1
1,2.414213562373095,0.4104163056034262,1
2,21.656854249492373,3.6816652224137036,1
3,19.727922061357845,3.353746750430834,1
4,26.384776310850214,4.4854119728445365,1
5,22.485281374238557,3.822497833620555,1
6,11.65685424949238,1.9816652224137048,1
7,26.384776310850214,4.4854119728445365,1
8,11.071067811865474,1.8820815280171306,1
9,17.899494936611656,3.042914139223982,1
10,18.556349186104033,3.1545793616376856,1
11,11.485281374238568,1.9524978336205567,1
12,23.899494936611653,4.062914139223981,1
13,4.414213562373095,0.7504163056034262,1
14,27.313708498984745,4.643330444827407,1
15,30.14213562373093,5.124163056034258,1
16,22.48528137423856,3.8224978336205555,1
17,48.14213562373097,8.184163056034265,1
18,25.72792206135784,4.373746750430834,1
19,21.899494936611653,3.722914139223981,1
20,16.899494936611656,2.872914139223982,1
21,24.970562748477118,4.244995667241111,1
22,36.38477631085024,6.185411972844542,1
23,15.485281374238564,2.632497833620556,1
24,15.828427124746188,2.690832611206852,1
25,19.48528137423856,3.3124978336205557,1
26,37.213203435596405,6.3262445840513895,1
27,22.48528137423856,3.8224978336205555,1
28,14.485281374238564,2.462497833620556,1
29,16.485281374238564,2.802497833620556,1
30,25.79898987322331,4.3858282784479625,1
31,31.48528137423856,5.352497833620555,1
32,14.313708498984752,2.433330444827408,1
33,19.55634918610403,3.324579361637685,1
34,23.899494936611653,4.062914139223981,1
35,24.727922061357837,4.203746750430833,1
36,18.313708498984752,3.113330444827408,1
37,23.313708498984745,3.963330444827407,1
38,14.071067811865468,2.3920815280171297,1
39,22.24264068711928,3.781248916810278,1
40,19.07106781186547,3.24208152801713,1
41,17.656854249492373,3.0016652224137035,1
42,10.82842712474619,1.8408326112068525,1
43,13.071067811865468,2.2220815280171298,1
44,16.07106781186547,2.73208152801713,1
45,16.656854249492376,2.831665222413704,1
46,21.899494936611653,3.722914139223981,1
47,13.656854249492376,2.321665222413704,1
48,25.727922061357845,4.373746750430834,1
49,25.313708498984745,4.303330444827407,1
50,18.43502884254439,3.1339549032325467,1
51,50.38477631085026,8.565411972844545,1
52,24.31370849898475,4.133330444827408,1
53,21.899494936611653,3.722914139223981,1
54,23.727922061357837,4.033746750430833,1
55,21.72792206135784,3.6937467504308334,1
56,20.07106781186547,3.4120815280171297,1
57,15.656854249492376,2.661665222413704,1
58,26.48528137423856,4.502497833620556,1
59,15.071067811865468,2.5620815280171296,1
60,16.24264068711928,2.761248916810278,1
61,15.071067811865468,2.5620815280171296,1
62,19.656854249492373,3.341665222413704,1
63,13.485281374238566,2.2924978336205566,1
64,18.31370849898475,3.1133304448274077,1
65,23.656854249492376,4.021665222413704,1
66,20.72792206135784,3.523746750430833,1
67,26.727922061357837,4.543746750430833,1
0,7.071067811865478,1.2020815280171313,2
1,23.48528137423856,3.9924978336205554,2
2,19.899494936611656,3.3829141392239817,2
3,20.899494936611653,3.552914139223981,2
4,25.384776310850214,4.315411972844537,2
5,22.485281374238557,3.822497833620555,2
6,19.727922061357845,3.353746750430834,2
7,16.727922061357848,2.8437467504308342,2
8,19.07106781186547,3.24208152801713,2
9,29.45584412271568,5.007493500861666,2
10,11.071067811865476,1.882081528017131,2
11,20.727922061357845,3.523746750430834,2
12,24.485281374238557,4.162497833620555,2
13,27.556349186104026,4.6845793616376845,2
14,21.485281374238557,3.652497833620555,2
15,19.142135623730937,3.2541630560342596,2
16,23.727922061357845,4.033746750430834,2
17,12.071067811865472,2.0520815280171303,2
18,26.071067811865465,4.43208152801713,2
19,22.31370849898475,3.7933304448274074,2
20,14.899494936611658,2.532914139223982,2
21,22.48528137423856,3.8224978336205555,2
22,15.07106781186547,2.56208152801713,2
23,24.55634918610403,4.174579361637686,2
24,23.313708498984752,3.9633304448274083,2
25,19.55634918610403,3.324579361637685,2
26,20.31370849898475,3.4533304448274076,2
27,20.07106781186547,3.4120815280171297,2
28,10.899494936611664,1.852914139223983,2
29,15.485281374238564,2.632497833620556,2
