id,length (px),length (um)
0,7.071067811865478,1.2020815280171313
1,23.48528137423856,3.9924978336205554
2,19.899494936611656,3.3829141392239817
3,20.899494936611653,3.552914139223981
4,25.384776310850214,4.315411972844537
5,22.485281374238557,3.822497833620555
6,19.727922061357845,3.353746750430834
7,16.727922061357848,2.8437467504308342
8,19.07106781186547,3.24208152801713
9,29.45584412271568,5.007493500861666
10,11.071067811865476,1.882081528017131
11,20.727922061357845,3.523746750430834
12,24.485281374238557,4.162497833620555
13,27.556349186104026,4.6845793616376845
14,21.485281374238557,3.652497833620555
15,19.142135623730937,3.2541630560342596
16,23.727922061357845,4.033746750430834
17,12.071067811865472,2.0520815280171303
18,26.071067811865465,4.43208152801713
19,22.31370849898475,3.7933304448274074
20,14.899494936611658,2.532914139223982
21,22.48528137423856,3.8224978336205555
22,15.07106781186547,2.56208152801713
23,24.55634918610403,4.174579361637686
24,23.313708498984752,3.9633304448274083
25,19.55634918610403,3.324579361637685
26,20.31370849898475,3.4533304448274076
27,20.07106781186547,3.4120815280171297
28,10.899494936611664,1.852914139223983
29,15.485281374238564,2.632497833620556
30,9.071067811865477,1.5420815280171312
31,17.656854249492376,3.0016652224137044
32,19.55634918610403,3.324579361637685
33,6.656854249492382,1.1316652224137052
34,9.82842712474619,1.6708326112068523
35,10.242640687119284,1.7412489168102785
36,24.556349186104026,4.174579361637685
37,10.071067811865476,1.7120815280171309
38,8.828427124746192,1.5008326112068526
39,17.899494936611656,3.042914139223982
40,32.798989873223306,5.575828278447962
41,28.14213562373093,4.7841630560342585
42,15.899494936611658,2.702914139223982
43,28.97056274847712,4.924995667241111
44,22.72792206135784,3.8637467504308334
45,22.07106781186547,3.75208152801713
46,13.485281374238566,2.2924978336205566
47,29.798989873223302,5.065828278447961
48,13.656854249492374,2.3216652224137038
49,21.24264068711928,3.6112489168102777
50,21.656854249492373,3.6816652224137036
51,14.24264068711928,2.4212489168102778
52,26.091883092036763,4.43562012564625
53,10.071067811865476,1.7120815280171309
54,43.455844122715725,7.387493500861674
55,18.556349186104033,3.1545793616376856
56,16.313708498984752,2.773330444827408
57,16.485281374238564,2.802497833620556
58,30.55634918610403,5.194579361637685
59,18.656854249492373,3.1716652224137034
60,11.071067811865474,1.8820815280171306
61,12.656854249492378,2.1516652224137043
62,26.506096654409852,4.506036431249675
63,19.899494936611656,3.3829141392239817
64,20.55634918610403,3.494579361637685
65,28.556349186104026,4.854579361637684
66,21.727922061357845,3.693746750430834
67,22.07106781186547,3.75208152801713
68,15.07106781186547,2.56208152801713
69,14.485281374238564,2.462497833620556
70,33.334523779156044,5.666869042456528
71,16.313708498984752,2.773330444827408
72,11.656854249492376,1.9816652224137041
73,25.656854249492373,4.361665222413704
74,14.07106781186547,2.39208152801713
75,14.828427124746188,2.520832611206852
76,22.55634918610403,3.8345793616376853
77,19.07106781186547,3.24208152801713
78,22.31370849898475,3.7933304448274074
79,5.828427124746191,0.9908326112068525
